Classes,Number Images
Candles,99
Bike,99
Backpack,99
Chair,96
Sneakers,88
Alarm_Clock,86
ToothBrush,85
Flipflops,85
Bed,83
Knives,83
Telephone,82
Trash_Can,81
Speaker,81
Exit_Sign,81
Bucket,80
Lamp_Shade,78
Bottle,78
Sink,77
Scissors,77
Couch,76
Keyboard,75
Refrigerator,75
Flowers,75
Curtains,73
Calculator,73
Kettle,72
Monitor,71
Notebook,68
Paper_Clip,68
Calendar,68
Toys,67
Laptop,67
Postit_Notes,67
Radio,66
Shelf,66
Pen,65
Clipboards,65
Oven,64
Computer,64
Batteries,64
Soda,63
Desk_Lamp,62
Glasses,60
Fan,60
Helmet,60
Mouse,60
Table,59
Pencil,59
File_Cabinet,58
Mug,58
Folder,57
Spoon,54
TV,53
Push_Pin,53
Hammer,52
Printer,52
Drill,51
Screwdriver,51
Webcam,49
Mop,46
Eraser,43
Ruler,41
Fork,36
Pan,30
Marker,23
